标题,价格,价格区间,品牌,笔记本类型,省份,城市,销量,店铺
支持WIN7Lenovo联想昭阳E42商务E53办公E41E5E43E52笔记本电脑,1600.0,3000元以下,联想,其他类型,湖北,武汉,33.0,创想科技笔记本电脑
爆款3060华硕游戏笔记本电脑i7飞行堡垒大学生天选4060吃鸡i5联想,2276.0,3000元以下,联想,游戏本,广东,深圳,0.0,品牌游戏本直销店
MSI微星魔影15酷睿13代i9星影17星影15Air学生RTX4070办公笔记本,5399.0,5000-7000元,其他品牌,其他类型,浙江,杭州,36.0,微星笔记本自营店
中柏EZbook S7 Hi笔记本电脑2024年新款女生款超薄商务办公用游戏本高配轻薄便携学生手提非二手14133英寸,703.87,3000元以下,其他品牌,轻薄本,广东,深圳,63.0,jumper中柏专卖店
MECHREVO机械革命 无界14Pro R78845HS无界14X锐龙无界15Pro本,3499.0,3000-5000元,机械革命,其他类型,四川,成都,5.0,游戏本之家总店
ThinkPad联想ThinkBook 16十三代i5标压 轻薄办公便携笔记本电脑,6288.0,5000-7000元,联想,轻薄本,上海,未知,15.0,天猫超市
8寸触摸屏二合一平板笔记本电脑7寸迷你口袋本掌上电脑办公炒股,2199.99,3000元以下,其他品牌,二合一笔记本,广东,深圳,96.0,吉开鑫电脑企业店
Asus华硕a豆14 Air 2024高性能AI超轻薄商务学生女生笔记本电脑,5288.0,5000-7000元,华硕,轻薄本,北京,未知,16.0,校园电竞商城
联想 小新 141516 2024款笔记本电脑轻薄本学生办公设计,4399.0,3000-5000元,联想,轻薄本,江苏,南京,0.0,百亿贴补金牌店
苹果笔记本MacBook轻薄air电脑超薄商务办公本pro游戏i7独显办公,960.0,3000元以下,苹果,轻薄本,江苏,苏州,11.0,安心购笔记本数码
华硕VivoBook无畏15 12代i7笔记本电脑商务办公用 绘图设计轻薄本,3293.87,3000-5000元,华硕,轻薄本,广东,广州,5.0,正品华硕电脑商城
雷神911Plus巨兽游戏本17寸大屏i9设计绘图i7学生4060笔记本电脑,6899.0,5000-7000元,雷神,游戏本,江西,南昌,33.0,雷神直销店
浩拉笔记本2024新款上市13英寸触控平板笔记本电脑二合一轻薄款,3060.0,3000-5000元,其他品牌,轻薄本,广东,深圳,9.0,浩拉笔记本电脑品牌店
华硕a豆14 潮色超能轻薄本13代英特尔酷睿 14英寸高性能轻薄笔记本电脑 星际银海 i513500H 16G 512G 25K屏,4094.0,3000-5000元,华硕,轻薄本,四川,成都,3.0,华硕九鑫专卖店
2024年新款笔记本电脑轻薄便携大学生男女生款超薄英特尔酷睿i7办公商务学习设计绘图官方正品高配置手提i5,932.12,3000元以下,其他品牌,轻薄本,广东,深圳,52.0,奈我旗舰店
联想小新pro1416小新air1415大学生轻薄办公2024新款笔记本电脑,2892.87,3000元以下,联想,轻薄本,上海,未知,32.0,联想笔记本电脑科技
24款机械革命耀世15Pro 旷世G16 16Prosuper水冷学生游戏笔记本,5599.0,5000-7000元,机械革命,游戏本,浙江,杭州,200.0,机械革命电脑商城
新品24期免息微星MSI 泰坦GE78HX 2024全新处理器 满血RTX4090显卡 25K240Hz游戏笔记本电脑旗舰店新品,27499.0,20000元以上,其他品牌,游戏本,上海,未知,28.0,微星游戏本旗舰店
Acer宏碁 掠夺者擎Neo 16英寸25K 240Hz屏电竞游戏本笔记本电脑 14代酷睿i5i7i9笔记本电脑4060独显,7679.0,7000-9000元,宏碁,游戏本,湖南,长沙,400.0,宏碁萌芽专卖店
Lenovo联想拯救者Y7000P 2023款设计师学生电竞游戏本笔记本电脑,8299.0,7000-9000元,联想,游戏本,河南,许昌,79.0,品牌笔记本电脑自营店
dell戴尔成就3420轻薄便携11代英特尔酷睿I5商务办公学习网课大学生PS画图剪辑14英寸手提笔记本电脑,2898.65,3000元以下,戴尔,轻薄本,湖北,武汉,51.0,戴尔蓝之新专卖店
2024新品AI战力本HP惠普战66七代锐龙版 7000系R5R7处理器轻薄办公商务本笔记本电脑,3399.0,3000-5000元,惠普,轻薄本,广东,广州,2.0,惠普商域专卖店
Dell戴尔网口英特尔酷睿新款120HZ高刷office商务办公轻薄本家用上网课学习追剧炒股工作用156寸笔记本电脑,3185.55,3000-5000元,戴尔,轻薄本,四川,成都,18.0,戴尔宏智乐欣专卖店
win11平板笔记本电脑2024新款二合一139英寸window大尺寸笔记本触摸平板windows商务办公学生PC可接键盘,1329.05,3000元以下,其他品牌,二合一笔记本,浙江,杭州,1.0,天天特卖工厂店
HP惠普Envy x360 15 可选12代英特尔酷睿i7 RTX2050显卡25k触摸屏高性能笔记本电脑商务办公设计师本,5099.0,5000-7000元,惠普,其他类型,广东,广州,32.0,惠普中国官方旗舰店
Asus华硕无畏Pro15 2024酷睿Ultra9 全能AI轻薄办公笔记本电脑,4988.0,3000-5000元,华硕,轻薄本,北京,未知,94.0,校园电竞商城
2024新酷睿i7双屏幕触摸笔记本电脑官方正品英特尔高配独立显卡轻薄触控超级本绘画设计学生商务办公便捷手提,1598.0,3000元以下,其他品牌,轻薄本,广东,深圳,56.0,帕米仕旗舰店
ThinkPad联想ThinkBook1414英寸轻薄办公28K屏13代i5笔记本电脑,4799.0,3000-5000元,联想,轻薄本,浙江,杭州,22.0,明华数码自营商城
现货速发荣耀笔记本电脑MagicBook X1416英寸2023新款pro酷睿i5轻薄 手提办公学生游戏笔记本电脑,4199.0,3000-5000元,荣耀,轻薄本,广东,深圳,300.0,荣耀宏百纳专卖店
2024新品机械师曙光15Pro AMD 锐龙 R97940H笔记本电脑RTX4060 独显AI游戏本25K 165Hz屏办公学生手提,6299.0,5000-7000元,机械革命,游戏本,广东,广州,34.0,machenike旗舰店
HP惠普 星bookpro14 办公本14英寸轻薄笔记本电脑学生版商务本,4499.0,3000-5000元,惠普,轻薄本,江苏,盐城,2.0,万码电脑店
联想Lenovo拯救者Y7000P 2024 16英寸电竞游戏本笔记本电脑 i714650HX 16G 1T RTX4060,7698.55,7000-9000元,联想,游戏本,北京,未知,25.0,联想联保专卖店
出租苹果笔记本电脑MacBook Pro全国免押租赁租借考试游戏设计用,5.0,3000元以下,苹果,游戏本,北京,未知,1000.0,短短租赁店
2024热销HP惠普 星Book15 可选13代酷睿i51340Pi71360P处理器笔记本电脑156英寸轻薄便携学生办公本,3599.0,3000-5000元,惠普,轻薄本,北京,未知,3.0,惠普锐博正业专卖店
机械师曙光T58英特尔游戏本RTX3060笔记本电脑电竞屏办公手提学生,2590.0,3000元以下,机械革命,游戏本,北京,未知,67.0,赤心优品数码商城
英特尔新款超薄笔记本电脑办公游戏娱乐工作设计绘画多功能电脑156英寸高清大屏学生轻薄便携系统,1106.0,3000元以下,其他品牌,轻薄本,浙江,杭州,37.0,天天特卖工厂店
Dell戴尔 灵越16Plus 7630 13代i7防蓝光3D设计本轻薄笔记本电脑,5023.87,5000-7000元,戴尔,轻薄本,江苏,南京,100.0,戴尔自营企业店
8代AMDRazerBlade雷蛇灵刃14水银锐龙R98945HS电竞游戏便携AI笔记本电脑RTX4070超清14英寸240Hz屏幕,22999.0,20000元以上,其他品牌,游戏本,江苏,苏州,8.0,雷蛇官方旗舰店
联想拯救者2024款R9000P Y9000P Y7000P R7000游戏学生笔记本电脑,6499.0,5000-7000元,联想,游戏本,江西,南昌,41.0,联想LEGION拯救者店
东田酷睿611代半加固三防笔记本IP53级防护双电池颜色可定制电脑,14478.0,10000-20000元,其他品牌,其他类型,浙江,杭州,23.0,东田工控
华硕14代新款 英特尔四核N6000办公学生办公轻薄笔记本电脑苏宁易购官方旗舰店1634,1999.0,3000元以下,华硕,轻薄本,江苏,南京,11.0,苏宁易购官方旗舰店
Huawei华为Matebook D16D15 13代酷睿高能版小键盘笔记本电脑,2793.87,3000元以下,华为,其他类型,四川,成都,16.0,诚欣数码商城
ROG玩家国度幻16air幻14air酷睿Ultra 9轻薄游戏笔记本电脑2024,9899.0,9000-10000元,玩家国度,轻薄本,北京,未知,28.0,华硕游戏本自营店
机械师创物者15N i713620H 25K  156寸 学生笔记本电脑电子商务本2804,3699.0,3000-5000元,机械革命,其他类型,福建,厦门,1.0,苏宁易购官方旗舰店
HP惠普暗影精灵10 9Slim 10slim光影笔记本电脑官方旗舰店官网,5998.0,5000-7000元,惠普,其他类型,上海,未知,100.0,暗影精灵游戏本正品店
新品联想小新Pro AI元启 联想小新Pro16 锐龙2024 联想AIPC 16英寸轻薄本笔记本电脑 联想官方旗舰店,5999.0,5000-7000元,联想,轻薄本,上海,未知,6.0,联想官方旗舰店
HP惠普 zbook 15 G5专业图形工作站笔记本电脑渲染设计师3D建模,2600.0,3000元以下,惠普,其他类型,广东,广州,200.0,百星奇数码
联想小新Pro14 AI超能本 英特尔酷睿Ultra5 可选小新Pro14 2024 学习商务办公轻薄本笔记本电脑,6098.75,5000-7000元,联想,轻薄本,北京,未知,8.0,联想联保专卖店
华硕正品新款专业商用酷睿编程炒股2T带数字小键盘指纹识别156寸家用黑色大中小学生儿童老年手提笔记本电脑,2749.4,3000元以下,华硕,其他类型,四川,成都,2.0,华开云享电脑专营店
dell戴尔G16 7620 12代英特尔酷睿i7设计师3070满血独显直连电竞25K游戏本商务办公笔记本电脑游匣7630,7999.35,7000-9000元,戴尔,游戏本,湖北,武汉,64.0,戴尔蓝之新专卖店
alienware M15 外星人14X R5 R2 R3 156寸吃鸡LOL游戏笔记本电脑,1348.0,3000元以下,外星人,游戏本,广东,广州,97.0,翼锋电竞游戏服务中心
alienware M17 R3256外星人游戏笔记本电脑M16 X15 R4 高配i7电竞,2658.0,3000元以下,外星人,游戏本,广东,广州,50.0,翼锋电竞游戏服务中心
华为MateBook 14 酷睿Ultra7轻薄学生触控手写28k办公笔记本电脑,4927.4,3000-5000元,华为,轻薄本,上海,未知,100.0,12年诚信老店
r9000p联想拯救者y7000p笔记本电脑r7000p电竞学生游戏本设计高配,2943.87,3000元以下,联想,游戏本,广东,深圳,22.0,联想拯救者游戏本直销店
MECHREVO机械革命旷世G16酷睿i712650H极光E高性能游戏本电脑,4938.0,3000-5000元,机械革命,游戏本,河南,郑州,13.0,百补游戏本直销店
壹号本OneXPlayer 壹号游侠X1平板笔记本电脑11寸大屏游戏掌机英特尔酷睿ultra155H可拆卸手柄三合一平板电脑,7693.87,7000-9000元,其他品牌,游戏本,上海,未知,44.0,壹号本飞丫专卖店
2024爆款HP惠普星bookpro14 酷睿i7星14Pro轻薄便携女学生办公设计28K屏笔记本电脑官方正品旗舰店官网,3598.56,3000-5000元,惠普,轻薄本,河南,郑州,67.0,惠普同伟专卖店
ALIENWARE外星人 酷睿i7独显吃鸡游戏本 17寸电竞 手提笔记本电脑,1680.0,3000元以下,外星人,游戏本,广东,广州,100.0,中国游戏本
2024 Al新品HP惠普星BookPro14 英特尔Evo酷睿Ultra5 28k屏超能笔记本电脑轻薄便携办公本旗舰店官网,5298.6,5000-7000元,惠普,轻薄本,河南,郑州,19.0,惠普同伟专卖店
2024新品HP惠普 星Book Pro13 AMD锐龙处理器 133英寸25k屏980克笔记本电脑AI轻薄便携学生商务办公本,5199.0,5000-7000元,惠普,轻薄本,北京,未知,10.0,惠普锐博正业专卖店
分期免息华为MateBook D1616s 2024年新款笔记本电脑13代酷睿i5i7轻薄游戏本手提官方旗舰店官网正品,4249.0,3000-5000元,华为,轻薄本,上海,未知,98.0,华为千冠专卖店
顺丰速发华为Matebook EE GO 2023款平板电脑二合一笔记本商务办公学习游戏触屏电脑官方旗舰店原装正品,3999.0,3000-5000元,华为,游戏本,上海,未知,62.0,华为千冠专卖店
2024新品联想ThinkBook SE 14英寸超轻薄便携商务办公笔记本13代酷睿标压蓝光护眼笔学生娱乐笔记本电脑,3979.0,3000-5000元,联想,轻薄本,江苏,无锡,8.0,thinkpad中硕专卖店
RTX3060独显笔记本电脑英特尔酷睿i7商务办公设计高配置手提CAD轻薄便携学生高端电竞i9超级游戏本2024款,1868.92,3000元以下,其他品牌,轻薄本,广东,深圳,100.0,奈我旗舰店
Apple苹果MacBookAir133英寸M1芯片2020款轻薄笔记本电脑,5999.0,5000-7000元,苹果,轻薄本,浙江,杭州,100.0,爱上数码
新店钜惠华硕无畏16 13代酷睿i5标压笔记本电脑16英寸护眼大屏轻薄本手提大学生商务办公本官方旗舰店,3599.0,3000-5000元,华硕,轻薄本,江苏,南京,4.0,Asus华硕爱速斯专卖店
Lenovo联想 拯救者 R9000P 2023款电竞游戏本 高性能笔记本电脑,9599.0,9000-10000元,联想,游戏本,北京,未知,200.0,笔记本电脑大卖场店
ASUS华硕正品笔记本电脑1T酷睿i51240P i512500H带数字小键盘女生办公PS作图专用全能本156寸手提电脑,3599.25,3000-5000元,华硕,其他类型,四川,成都,100.0,华开云享电脑专营店
Acer宏碁 掠夺者Neo擎Pro酷睿i5i7i9满血4060显卡25K屏游戏本,5479.0,5000-7000元,宏碁,游戏本,湖南,长沙,700.0,宏碁数码商城
MECHREVO机械革命蛟龙16Pro RTX4060笔记本电脑游戏本锐龙R7学生,6999.0,5000-7000元,机械革命,游戏本,江苏,南京,13.0,百亿数码电脑
百忆补贴HP惠普 光影精灵9 13代酷睿处理器游戏笔记本电脑,5499.0,5000-7000元,惠普,游戏本,北京,未知,37.0,锐博正业数码
荣耀MagicBook X16 2024办公学生便携笔记本电脑酷睿新款,4199.0,3000-5000元,荣耀,其他类型,江苏,苏州,200.0,智汇先锋数码企业店
HP惠普 暗影精灵9 i513500HXRTX4060游戏笔记本电脑161英寸,7299.0,7000-9000元,惠普,游戏本,浙江,杭州,51.0,明华数码自营商城
HUAWEI华为笔记本电脑MateBook 14S触屏13代酷睿i5轻薄i7办公i9画图设计超高清25K触控屏2023款手提,5999.0,5000-7000元,华为,轻薄本,福建,厦门,77.0,华为美好向往专卖店
13代英特尔酷睿i7笔记本电脑电竞设计游戏本RTX3060独显大学生设计师用3d建模渲染UG编程CAD直播剪辑手提,1712.87,3000元以下,其他品牌,游戏本,广东,深圳,200.0,toposh旗舰店
Dell戴尔灵越3530 13代酷睿i7大学生PS画图AI会计专用电竞大屏轻薄商务办公网课手提3420笔记本电脑,2999.35,3000元以下,戴尔,轻薄本,湖北,武汉,15.0,戴尔蓝之新专卖店
Huawei 华为笔记本电脑i7商务办公轻薄本学生吃鸡游戏本2023新款,766.0,3000元以下,华为,轻薄本,广东,广州,10.0,齐锋电脑商城
全新正品小米RedmiBook 16 2024 酷睿版小米笔记本电脑轻薄游戏手提16英寸2063,3399.0,3000-5000元,小米,轻薄本,北京,未知,16.0,苏宁易购官方旗舰店
华为MateBook D14 2023新款i7全面屏轻薄便携商务笔记本电脑,3399.0,3000-5000元,华为,轻薄本,上海,未知,300.0,三冠电商
东田酷睿11代133英寸三防笔记本IP65防护宽温运行Win10工业电脑,16188.0,10000-20000元,其他品牌,其他类型,浙江,杭州,24.0,东田工控
Lenovo联想拯救者Y7000P 2024款笔记本电脑学生游戏本14代酷睿i716英寸设计师电竞本苏宁3598,7838.0,7000-9000元,联想,游戏本,江苏,南京,5.0,苏宁易购官方旗舰店
2024款联想小新Pro14 AI超能本 英特尔酷睿Ultra9 14英寸高清超轻薄便携商务学生 笔记本电脑,7198.85,7000-9000元,联想,轻薄本,北京,未知,17.0,联想联保专卖店
小米RedmiBook16红米pro1416 2024款酷睿U5轻薄小米笔记本电脑u7,3379.0,3000-5000元,小米,轻薄本,上海,未知,13.0,德翔数码
华为触屏笔记本电脑MateBook E二合一平板电脑办公学习电竞轻薄本,1258.0,3000元以下,华为,轻薄本,广东,深圳,9.0,福豪数码通讯
华为笔记本MateBook16S 华为笔记本电脑13代酷睿i5i7i9触屏游戏本官方旗舰店正品现货轻薄本商务本电脑,6099.0,5000-7000元,华为,轻薄本,北京,未知,4.0,华为宏威科锐专卖店
ASUS华硕触屏14英寸标压R7轻薄商务办公专用视频剪辑编程360度翻转折叠触摸屏手写触控全能笔记本电脑正品,4699.4,3000-5000元,华硕,轻薄本,四川,成都,100.0,华开云享电脑专营店
华为 MateBook X Pro新品2024款酷睿 Ultra轻薄笔记本电脑,7049.0,7000-9000元,华为,轻薄本,北京,未知,51.0,北京聚力电商
雷神911X猎荒者156英寸降龙猩猩队长电竞RTX4060游戏笔记本电脑,5688.0,5000-7000元,雷神,游戏本,上海,未知,66.0,Thunderobot游戏本
2024新品华硕A豆14Air高性能高颜值轻薄AI办公学生笔记本电脑,5219.0,5000-7000元,华硕,轻薄本,浙江,杭州,4.0,华硕数码电竞商城
华硕灵耀14 i913900H 14英寸高颜值超轻薄商务办公笔记本电脑,6999.0,5000-7000元,华硕,轻薄本,河南,郑州,7.0,联壹电脑数码
ASUS华硕VivoBook15 英特尔酷睿I5商务本办公本学生游戏本笔记本电脑苏宁易购官方旗舰店正品1634,2599.0,3000元以下,华硕,游戏本,江苏,南京,500.0,苏宁易购官方旗舰店
Dell戴尔轻薄便携办公学习用酷睿i5带网口1t固态硬盘14英寸银色wifi6无线网卡插网线笔记本电脑官网官方正品,2999.35,3000元以下,戴尔,轻薄本,四川,成都,65.0,戴尔宏智乐欣专卖店
荣耀MagicBook Pro16 AI轻薄高性能笔记本电脑游戏电竞Ultra7酷睿,5367.0,5000-7000元,荣耀,轻薄本,上海,未知,2.0,三冠电商
ThinkPad T490S新款高配i7游戏本商务娱乐学生设计专用笔记本电脑,1188.0,3000元以下,联想,游戏本,广东,深圳,16.0,笔记本电脑专店
戴影2024女神本粉色超薄笔记本电脑156英寸办公设计女生电脑,2788.0,3000元以下,其他品牌,其他类型,广东,深圳,72.0,戴影笔记本店
华为 MateBook D16 锐炬13代全面屏轻薄便携笔记本电脑官方正品,3569.0,3000-5000元,华为,轻薄本,上海,未知,100.0,三冠电商
Huawei华为 MateBook D16 i713700H 笔记本电脑华为2023款,9999.0,9000-10000元,华为,其他类型,山西,太原,28.0,长江小土豆
Lenovo联想拯救者R9000P笔记本电脑锐龙R9电竞游戏本RTX4060独显,9299.0,9000-10000元,联想,游戏本,北京,未知,1000.0,天天联想店
联想拯救者22款R9000XY9000X电脑英寸酷睿i7游戏笔记本23款,3800.0,3000-5000元,联想,游戏本,安徽,合肥,3.0,华中无双数码
华硕天选3 天选2天选air22款电竞吃鸡游戏笔记本电脑满血直连i5i7,3685.0,3000-5000元,华硕,游戏本,广东,广州,46.0,7天科技电脑店
戴尔新游匣G15 5530 13代酷睿i7 156英寸游戏笔记本电脑电竞本,6599.0,5000-7000元,戴尔,游戏本,上海,未知,100.0,浩瀚电脑商城
华为Matebook D16 SE I513420H  笔记本电脑轻薄本16英寸大屏手提电脑2024新款官方旗舰店官网,4299.0,3000-5000元,华为,轻薄本,广东,广州,300.0,华为上乘专卖店
华硕天选5 Pro 高性能酷睿HX 16英寸电竞游戏本 笔记本电脑RTX4070显卡,7499.0,7000-9000元,华硕,游戏本,江西,南昌,19.0,华硕旭硕专卖店
Lenovo联想 拯救者 R9000P新品24款Y9000PX 学生游戏笔记本电脑,7249.0,7000-9000元,联想,游戏本,广东,广州,23.0,联想拯救者实体店
dell戴尔新游匣G15 5530 14核酷睿i7设计师电竞游戏本学生4060满血PS修图AI制作商务办公笔记本电脑G16,5699.4,5000-7000元,戴尔,游戏本,湖北,武汉,69.0,戴尔蓝之新专卖店
百亿补贴Acer宏碁掠夺者擎Neo游戏笔记本电脑酷睿i513500HX满血RTX4050独显6G工程师3D设计便携电脑,6269.05,5000-7000元,宏碁,游戏本,北京,未知,100.0,宏碁天恩志兴专卖店
2024新品酷睿i7笔记本电脑英特尔轻薄便携大学生超薄商务办公工作设计绘图高端电竞游戏官方正品手提至尊版,1120.0,3000元以下,其他品牌,轻薄本,浙江,杭州,50.0,天天特卖工厂店
Lenovo联想 IdeaPad 14S 15锐龙版12代轻薄办公锐龙笔记本电脑,2588.0,3000元以下,联想,轻薄本,山东,济南,15.0,联想数码店
ROG玩家国度魔霸新锐2024魔霸7Plus枪神8Plus超竞败家之眼笔记本,9388.0,9000-10000元,玩家国度,其他类型,北京,未知,200.0,校园电竞商城
Huawei华为MateBook XPro新款I7超薄触屏3K官网正品笔记本电脑,3082.87,3000-5000元,华为,其他类型,广东,惠州,2.0,果粉笔记本中心
2024款外星人 AlienWare M18 R2 14代CPU i9 4090显卡游戏笔记本,26000.0,20000元以上,外星人,游戏本,美国,未知,10.0,美国坐标
2024新品惠普光影精灵10游戏笔记本电脑可选14代酷睿i7 4060显卡25k电竞屏 暗夜精灵10暗影精灵10游戏本,6199.0,5000-7000元,惠普,游戏本,河南,郑州,4.0,hp惠普照奕专卖店
2024新款ASUS华硕天选5pro高配i914900HX高性能3DMAX建模渲染工业设计大屏大型游戏图形工作站笔记本电脑,7298.35,7000-9000元,华硕,游戏本,四川,成都,34.0,华开云享电脑专营店
Huawei华为MateBook D14 NbDWFH9i5学习办公触屏轻薄新款笔记本,1793.87,3000元以下,华为,轻薄本,湖北,武汉,26.0,华润品牌电脑科技
Microsoft微软Surface Laptop Studio2笔记本电脑高性能触屏电脑,7388.0,7000-9000元,微软,其他类型,上海,未知,30.0,上海数码老周
Acer宏碁 擎 Neo掠夺者2024新品 14代14700HX笔记本RTX4060电脑,7299.8,7000-9000元,宏碁,其他类型,北京,未知,500.0,宏基笔记本电脑商城
2024新品酷睿i7笔记本电脑独显电竞游戏本官方学生网课上网办公设计绘图高端游戏手提炒股便携轻薄,1120.0,3000元以下,其他品牌,轻薄本,浙江,杭州,17.0,天天特卖工厂店
雷神猎刃15电竞游戏本156英寸14核i713650HX16G512GRTX4060满血DDR5独显24025K屏公笔记本电脑1484,6399.0,5000-7000元,雷神,游戏本,上海,未知,8.0,苏宁易购官方旗舰店
Xiaomi小米 Redmi G 游戏本i5i7锐龙16寸学生吃鸡电竞笔记本电脑,2521.87,3000元以下,小米,游戏本,江西,南昌,900.0,鑫宇科技数码品牌店
2024新品HP惠普光影精灵9 13代酷睿i5 i7手提电脑 RTX4060笔记本144Hz电竞屏游戏电脑暗夜暗影精灵9,4799.0,3000-5000元,惠普,游戏本,河南,郑州,16.0,hp惠普照奕专卖店
16寸大屏华硕无畏Pro16 12代英特尔酷睿i5标压轻薄游戏本25K屏120Hz RTX3050笔记本电脑官方旗舰店,3993.87,3000-5000元,华硕,轻薄本,江苏,南京,25.0,华硕点个赞专卖店
HUAWEI官方旗舰店官网MateBookD16华为电脑笔记本电脑新款13代英特尔i7学生轻薄本商务办公手提电脑1943,4879.0,3000-5000元,华为,轻薄本,北京,未知,39.0,苏宁易购官方旗舰店
Xiaomi小米 RedmiBook Pro 1415轻薄办公学生i5红米笔记本电脑,2489.0,3000元以下,小米,轻薄本,湖北,武汉,25.0,华艺数码商行
HUAWEI华为笔记本电脑MateBook 16s 2023 13代酷睿版16英寸大屏25K高色准触控屏超级终端轻薄本,6299.0,5000-7000元,华为,轻薄本,福建,厦门,65.0,华为美好向往专卖店
Dell戴尔高性能游戏设计本i5HX标压i7高配置rtx4050独显显卡学生3d画图c4d绘图建模渲染用笔记本电脑游匣G15,5768.03,5000-7000元,戴尔,游戏本,四川,成都,200.0,戴尔宏智乐欣专卖店
华为触屏笔记本电脑MateBook E二合一双屏轻薄办公学习电竞超极本,1252.87,3000元以下,华为,轻薄本,广东,深圳,8.0,正品数码产品直售店
新品华为MateBook 14酷睿Ultra笔记本电脑28K OLED触控手写屏轻薄灵动机身学生办公商务手提触屏2024款,6099.0,5000-7000元,华为,轻薄本,福建,厦门,3.0,华为美好向往专卖店
爆款上新吾空山灵K6 13代酷睿i713650HX16英寸游戏本RTX4060学生设计笔记本电脑,6499.0,5000-7000元,其他品牌,游戏本,广东,深圳,3.0,WOOKING旗舰店
联想Thinkbook14 轻薄办公设计画图学习学生编程游戏笔记本电脑,3349.0,3000-5000元,联想,轻薄本,四川,成都,30.0,正品电脑商城
2023新款20代超薄笔记本电脑学生办公游戏156寸4K高清手提电脑,1290.0,3000元以下,其他品牌,游戏本,广东,深圳,31.0,方技数码店
HP惠普 暗影精灵9游戏本 i9满血4060显卡学生24核游戏笔记本电脑,5599.0,5000-7000元,惠普,游戏本,江西,南昌,2.0,众鑫电子产品科技
戴影超清屏4K120Hz161英寸超薄笔记本电脑办公设计游戏电脑,2788.0,3000元以下,其他品牌,游戏本,广东,深圳,65.0,戴影笔记本店
MECHREVO机械革命 极光Pro i512450HRTX4050,4199.0,3000-5000元,机械革命,其他类型,广东,广州,1000.0,机械革命企业店
Asus华硕 灵耀X Fold i71250U OLED折叠屏 轻薄便携笔记本电脑,19899.0,10000-20000元,华硕,轻薄本,北京,未知,0.0,华硕电脑自营店
2024新款预售联想ThinkPad P14S AI 酷睿Ultra9 145英寸高性能3D绘图设计办公移动图形工作站笔记本电脑,7999.0,7000-9000元,联想,其他类型,福建,厦门,0.0,thinkpad恒瀚专卖店
雷神911por3060星战MT学生i7i5高刷电竞游戏笔记本电脑黑武士游戏,1643.87,3000元以下,雷神,游戏本,山东,济南,27.0,雷影数码商城
2024新款联想ThinkBook 1416 英特尔酷睿Ultra7i9 14英寸轻薄学生商务办公全面屏笔记本电脑官方旗舰,5999.0,5000-7000元,联想,轻薄本,福建,厦门,31.0,thinkpad恒瀚专卖店
Lenovo联想拯救者R7000P电竞游戏本Y7000学生办公设计笔记本电脑,3093.87,3000-5000元,联想,游戏本,江苏,常州,100.0,联泰正品数码商行
机械革命极光PRO蛟龙15K16K16S16PRORTX4060游戏笔记本电脑,3850.0,3000-5000元,机械革命,游戏本,湖北,武汉,1000.0,伍系笔记本商城
Asus华硕灵耀14 旗舰版 皓沙金轻薄网课商务办公笔记本电脑,6999.0,5000-7000元,华硕,轻薄本,湖北,武汉,17.0,华硕荆楚卓越专卖店
新品开售联想拯救者Y9000X 2024 AI元启 14代酷睿i9 HX 16英寸电竞游戏本笔记本电脑,14698.8,10000-20000元,联想,游戏本,北京,未知,1.0,联想艾克兰斯专卖店
Lenovo联想 拯救者 15寸笔记本电脑学生锐龙游戏本y720 Y7000P,1650.0,3000元以下,联想,游戏本,广东,广州,16.0,百星奇数码
东田三防国产麒麟系统笔记本电脑飞腾处理器半加固便携工业主机,9729.0,9000-10000元,其他品牌,其他类型,浙江,杭州,27.0,东田工控
百亿补贴雷神911X降龙13代酷睿i7 RTX4060显卡游戏笔记本电脑,5899.0,5000-7000元,雷神,游戏本,北京,未知,50.0,雷神电脑授权店
Asus华硕 A豆14 Air 2024新品高性能AI超轻薄学生女生笔记本电脑,3799.0,3000-5000元,华硕,轻薄本,浙江,杭州,30.0,杭州芹时科技有限公司企业店
Dell戴尔 G15 i710870HRTX3060Dell戴尔游匣G15游戏本5530戴,3578.0,3000-5000元,戴尔,游戏本,安徽,合肥,16.0,华中无双数码
Xiaomi小米游戏笔记本电脑i7红米Redmi G电竞i7吃鸡4060联想3060,2690.0,3000元以下,联想,游戏本,广东,深圳,0.0,品牌游戏本直销店
Xiaomi小米 RedmiBook Pro 15 2023锐龙R77840HS标压笔记本电脑,4579.0,3000-5000元,小米,其他类型,广东,深圳,100.0,小米上海实体店
DELL戴尔Latitude 54205440 14英寸13代商用办公游戏电竞轻薄笔记本设计电脑 5431升级款,5793.87,5000-7000元,戴尔,轻薄本,江苏,南京,6.0,地升数码专营店
alienware外星人笔记本电脑m15m17x15x17电竞游戏本轻薄设计办公,4999.0,3000-5000元,外星人,轻薄本,北京,未知,12.0,外星人北京线下体验中心国贸总店
Asus华硕 天选4 锐龙版高性能RTX4060电竞游戏本笔记本电脑144Hz,6799.0,5000-7000元,华硕,游戏本,浙江,湖州,45.0,嘉华数码商城
Acer宏碁暗影骑士擎掠夺者酷睿i5i7满血4060电竞游戏笔记本电脑,2599.0,3000元以下,宏碁,游戏本,广东,广州,5.0,7天科技电脑店
华硕无畏Pro14 锐龙R76800H标压轻薄本高刷屏商务华硕笔记本电脑旗舰专卖店,3799.0,3000-5000元,华硕,轻薄本,广东,广州,700.0,asus华硕硕金专卖店
