标题,价格,省份,城市,销量,店铺
【2024新品酷睿i9】笔记本电脑32G英特尔i7高配置13代电竞游戏大学生商务办公设计轻薄手提官方旗舰正品独显,907.24,广东,深圳,8000+,HUAV裕腾专卖店
MECHREVO机械革命旷世g笔记本电脑e游戏极光16pro蛟龙无界本4060,2485.87,广东,湛江,200+,艾克数码商城
联想Thinkpad超薄笔记本电脑X390学生IPS商务本13.3寸280 X13 L13,1138.00,广东,广州,800+,灵龙数码二手笔记本电脑
雷神911airpro设计师i7/i5笔记本电脑mt星战3060游戏黑武士本plus,1587.87,广东,湛江,1000+,银河数码商城
高性能AI超轻薄本笔记本电脑 AMD锐龙7 14英寸学生商务官方旗舰店,5299.00,上海,未知,1000+,adol官方旗舰店
Apple/苹果 Mac Book Pro  2023款  14英寸 M2 系列芯片 笔记本电脑官方正品官方女生学习绘图设计 3526,14599.00,北京,未知,1,苏宁易购官方旗舰店
Lenovo/联想 小新 Pro14超级IA智能U5i9轻薄14寸2.8K笔记本电脑,3898.00,山东,济南,18,恒兴电脑科技济南店
ThinkPad T570 i7-7500UT580/560联想P53S商务P52S笔记本电脑P53s,1048.88,广东,广州,68,木森科技港二手笔记本电脑
LGgram Ultra 2.5K LG原厂防眩光笔记本电脑商务办公轻薄本32G,10093.37,上海,未知,18,LG笔记本旗舰店
华为Matebook D16 2023新款16英寸全面屏十三代笔记本电脑,3527.00,北京,未知,30,鼎立数码电商
ThinkPad T430酷睿i7标压14寸商务办公工程师系列联想笔记本电脑,583.00,北京,未知,7,中鼎数码二手笔记本电脑
Apple苹果笔记本电脑MacBookProAir超轻薄i5i7办公设计女学生游戏,1487.97,广东,深圳,1000+,16年老店淘特数码商城
2024旗舰新品HP/惠普 spectre X360 可选英特尔Evo酷睿Ultra7 Arc,10399.00,广东,广州,68,惠普中国官方旗舰店
【酷睿i7】中柏笔记本电脑2024全新款14英寸轻薄本便携学生官方旗舰店正品超薄手提电脑商务办公游戏上网本,1393.87,广东,深圳,15,中柏电脑旗舰店
联想 ThinkPad T490S i7 大屏轻薄本商务办公四核独显笔记本电脑,982.87,广东,深圳,33,果粉笔记本中心
Xiaomi/小米 RedmiBook Pro 14办公学习设计23新款小米笔记本电脑,1893.87,湖北,武汉,69,小米之家电脑商城
Huawei/华为笔记本电脑i7办公商务轻薄便携大学生吃鸡游戏本手提,638.00,广东,佛山,26,多承电脑商城
官方店联想拯救者 Y7000P/R9000P/Y9000P可选 游戏笔记本电脑,8699.00,北京,未知,400+,联想直营官方店
2024新款英特尔酷睿n95笔记本电脑轻薄本便携式电脑全面屏办公商务游戏14英寸学生家用系统大屏,979.20,浙江,杭州,10,天天特卖工厂店
英特尔新款超薄笔记本电脑办公游戏娱乐工作设计绘画多功能电脑15.6英寸高清大屏学生轻薄本便携,1106.00,浙江,杭州,22,国货甄选旗舰店
特价华硕3060游戏本笔记本电脑i7玩家国度ROG天选4060联想拯救者,2180.00,广东,深圳,0,品牌游戏本直销店
Dell/戴尔灵越16Plus7610防蓝光3K屏16寸笔记本,5023.87,江苏,南京,100+,戴尔自营企业店
Acer/宏碁 笔记本电脑游戏本暗影骑士擎龙4060学生3060电竞i7联想,2687.00,广东,深圳,0,品牌游戏本直销店
【顺丰现货速发】Apple/苹果 Mac Book Air 13 英寸 M3芯片 笔记本电脑 专业设计剪辑视频 2024新款3526,9199.00,北京,未知,1,苏宁易购官方旗舰店
【2024新款热销设计师本】英特尔酷睿i9 i7游戏本高端电竞笔记本 电脑RTX3060设计建模剪辑直播大学生轻薄本,3333.87,广东,深圳,79,pwb旗舰店
Lenovo/联想笔记本电脑i7独显4G高清15.6寸设计绘图游戏学生轻薄,1293.87,广东,广州,10,逸楠数码科技
2024新品上市LG gram17AI酷睿Ultra7学习商务办公轻薄本2.5K LG原厂防,9193.72,上海,未知,33,LG笔记本旗舰店
苹果MacBook笔记本电脑新款Air超薄办公便携商务女生Pro游戏设计,1699.00,广东,广州,55,博艺数码
【新品上市】微星/MSI 星影15/17Ai 锐龙R7-8845HS RTX4060显卡 15.6英寸2.5K 办公学习笔记本电脑官方旗舰店,6999.00,上海,未知,14,微星游戏本旗舰店
机械革命2024耀世16super14代i9独显4080/4090水冷游戏笔记本电脑,20698.10,湖北,武汉,35,武汉港边商贸游戏本
外星人ALIENWARE x14 R2 14英寸高性能轻薄本 游戏电竞笔记本电脑,14999.00,北京,未知,2,外星人长虹佳华专卖店
【官方小尺寸轻薄本】jumper/中柏EZbook S5 GO 11.6英寸笔记本电脑女生款超便携迷你学生商务办公上网本490,769.00,广东,深圳,200+,苏宁易购官方旗舰店
Huawei/华为 Matebook D16  16英寸轻薄商务办公护眼全面屏,4999.00,北京,未知,200+,迪通通讯数码
小米笔记本电脑RedmiBook 14 2024 13代酷睿 2.8K120hz高刷屏轻薄,4399.00,上海,未知,16,天猫超市
MECHREVO/机械革命蛟龙2023款Z3Pro满血3070电竞屏游戏笔记本电脑,3799.00,江西,南昌,300+,品牌电脑商行top店
2024新品联想 拯救者G5000 酷睿i7 拯救者升级版15.6英寸独显电竞玩家,6488.25,江苏,南京,23,联想冉创专卖店
联想ThinkPad X1 CARBON AI 2024 旗舰笔记本电脑Ultra 2.8K120HZ,10468.00,上海,未知,21,ThinkPad徐汇品牌店
联想Thinkpad笔记本电脑T420 T430 T440 T440S T440P办公游戏本,450.00,北京,未知,3,宁丰电器店二手笔记本电脑
DELL戴尔灵越13Pro Ultra5/7轻薄办公剪辑制图编程学生笔记本电脑,3399.00,北京,未知,37,品牌电脑之家
2024新品HP/惠普战66六代七代笔记本酷睿Ultra处理器2050独显2.5K高性,3849.00,江苏,南京,41,惠普推星专卖店
机械革命 蛟龙15K R7-7435H/RTX4060游戏电竞学生笔记本电脑游戏,5799.00,江苏,南京,36,华东电竞数码商城
官方正品英特尔酷睿N95笔记本电脑轻薄本便携超薄商务办公游戏设计剪辑全能本学生学习笔记本电脑游戏本,20.00,浙江,杭州,0,天天特卖工厂店
联想小新air14plus 2023款Air15学生办公i5轻薄笔记本电脑游戏本,1692.87,湖南,长沙,47,飞扬电脑科技
小新Pro16超能本英特尔酷睿i5 16英寸轻薄笔记本电脑,4749.00,河南,郑州,3,龙之源拯救者数码商城企业店
LG gram17英寸超轻薄本笔记本电脑2024新款英特尔酷睿Ultra7-155H高性,9693.42,北京,未知,21,LG天恩志兴专卖店
2020新款Apple/苹果  MacBook Pro笔记本电脑13.3 英寸武汉送货,11199.00,湖北,武汉,16,iOS数码港
Lenovo 联想笔记本电脑 超薄大型游戏本i7四核 办公手提 学生家用,864.87,广东,广州,300+,mooer摩尔
Lenovo/联想小新2023款轻薄便携高配置超薄游戏独显笔记本电脑,882.87,广东,惠州,72,果粉笔记本中心
IP65双屏三屏全加固工业三防笔记本电脑工业移动工作站服务器电脑,23800.00,广东,东莞,4,鑫控特种计算机
ROG/玩家国度枪神8/7PLUS超竞版2024款14代酷睿RTX4090笔记本电脑,11339.00,陕西,西安,28,华硕电脑自营商城
全新惠普笔记本电脑商务办公轻薄便携超薄大学生网课游戏粉色紫色,1192.87,广东,深圳,60,云兴数码
Lenovo/联想小新14/16轻薄笔记本电脑学生商务办公游戏超薄本,3499.00,北京,未知,100+,天天联想店
高性能AI超轻薄本笔记本电脑 AMD锐龙7 14英寸学生商务官方旗舰店,5299.00,上海,未知,1000+,adol官方旗舰店
Hasee/神舟 战神 Z7游戏本Z8独显6G吃鸡3060笔记本电脑i7 RTX4060,1102.00,北京,未知,300+,百创数码科技
【2024年新款英特尔】笔记本电脑大学女生女士粉色高颜值轻薄本i7商务办公学习触摸屏便携15.6寸手提分期免息,1598.00,广东,深圳,500+,甘冠旗舰店
【64G内存】16寸英特尔酷睿i9笔记本电脑6G独显设计办公学生游戏,3576.87,广东,深圳,69,榕厦电脑店
LGgram Ultra 2.5K LG原厂防眩光笔记本电脑商务办公轻薄本32G,10093.37,上海,未知,18,LG笔记本旗舰店
Lenovo联想拯救者Y9000K/Y7000P游戏本笔记本Y9000P电脑锐龙2022,1998.00,湖南,长沙,52,phobe科技直销店
【2024新款热销】笔记本电脑英特尔15.6英寸轻薄便携大学生官方正品指纹解锁商务办公工作设计绘图游戏全能本,1582.87,广东,深圳,100+,卡其兔旗舰店
【2024新品】新战纪V1611代酷睿i7英特尔15.6英寸2.5K高清165Hz高刷屏轻薄便携学生网课办公用游戏笔记本电脑,2278.10,浙江,杭州,8,天天特卖工厂店
2024旗舰新品HP/惠普 spectre X360 可选英特尔Evo酷睿Ultra7 Arc,10399.00,广东,广州,68,惠普中国官方旗舰店
联想Thinkbook14/15新款酷睿轻薄商务办公15.6女生锐龙笔记本电脑,2650.00,江苏,南京,100+,新起点笔记本数码店
联想小新笔记本电脑Pro16 Air14 Air15学生办公PS专用独显轻薄本,2893.87,上海,未知,58,联想笔记本电脑科技
华为MateBook 16S 23款2.5K触屏商务办公轻薄笔记本电脑13代酷睿,5729.00,广东,广州,100+,九州通讯数码
华硕a豆14 14pro2024新款13代酷睿i5 i7性能轻薄本学生笔记本电脑,2589.00,上海,未知,26,博创科技数码品牌店
2024新品上市LG gram17AI酷睿Ultra7学习商务办公轻薄本2.5K LG原厂防,9193.72,上海,未知,33,LG笔记本旗舰店
Lenovo/联想小新14酷睿版/小新16锐龙大屏学生办公设计笔记本电脑,2498.00,上海,未知,100+,鑫鑫正品数码商行
联想拯救者Y9000K2024 Y9000P至尊版游戏电竞笔记本电脑官方旗舰,10749.00,北京,未知,42,联想拯救者游戏本商城
【办公本】ASUS/华硕破晓Pro15笔记本第11代酷睿i5商务办公学生娱乐轻薄本商用笔记本电脑官方旗舰店【1634】,1999.00,江苏,南京,100+,苏宁易购官方旗舰店
官方店联想拯救者 Y7000P/R9000P/Y9000P可选 游戏笔记本电脑,8699.00,北京,未知,400+,联想直营官方店
NEC VK23/VKT25/VKT16二合一windows13.3寸触摸屏旋转笔记本电脑,1042.87,广东,广州,10,蠢蠢数码
【爆款推荐】联想ThinkBook14 SE 英特尔酷睿标压i5 14英寸超轻薄便携游戏笔记本电脑大学生商务办公官方旗舰,3999.00,福建,厦门,5,thinkpad恒瀚专卖店
二手笔记本电脑九成新 联想ThinkPadT14 轻薄办公14寸锐龙商务,2016.62,广东,广州,100+,猛猪祥云二手笔记本电脑
【酷睿i7】2024新款笔记本电脑15.6英寸轻薄便携商务超薄学生手提办公高配置游戏本女生官方正品独显手提,932.12,广东,深圳,35,摆渡者风控专卖店
外星人ALIENWARE x14 R2 14英寸高性能轻薄本 游戏电竞笔记本电脑,14999.00,北京,未知,2,外星人长虹佳华专卖店
华硕天选3新款酷睿学生RTX3060商务设计玩家国度i7游戏笔记本电脑,4288.00,重庆,未知,400+,墨蓝优品数码商城
Apple/苹果笔记本电脑MacBook Air轻薄13寸15寸Pro酷睿i7学生手提,1580.00,广东,广州,5,小油柑数码
Asus/华硕 全系列 办公游戏轻薄 无畏pro14 学生 独显 笔记本电脑,2989.00,江西,南昌,100+,品牌电脑商行top店
联想ThinkPad X13 2022新款商务轻薄便携笔记本,6199.00,上海,未知,46,ThinkPad志旋专卖店
2023款Apple/苹果 MacBook Pro 16英寸M3Pro笔记本电脑定制M3Max,16499.00,山东,济南,31,九佳正品(Apple)放心店
神舟战神Z7/Z8/S8/TX8/G8R9满血RTX4060/50学生游戏i7笔记本2024,3590.00,江西,南昌,32,海威数码科技品牌店
联想ThinkBook 14+ 14 16+ 16 15 X 英特尔Ultra5 7 新笔记本电脑,2900.00,安徽,合肥,15,安心精品笔记本电脑
全新英特尔14代笔记本电脑游戏超薄手提学生办公轻薄便携设计音乐,993.87,广东,深圳,3,志成笔记本直销店
2024新品HP/惠普战66六代七代笔记本酷睿Ultra处理器2050独显2.5K高性,3849.00,江苏,南京,41,惠普推星专卖店
华硕(ASUS)灵耀X双屏酷睿i7/i5 14英寸双屏创意设计轻薄笔记本电脑十一代酷睿大屏官方正品,4993.87,浙江,杭州,300+,华硕星爱硕专卖店
【ReaimX新款】笔记本电脑英特尔N95轻薄便携大学生超薄商务办公工作设计绘图高端电竞游戏官方正品独显手提7,1369.90,浙江,杭州,8,天天特卖工厂店
Acer/宏碁笔记本电脑游戏本i7暗影骑士擎龙4060独显3060学生联想,2687.00,广东,深圳,0,品牌游戏本直销店
LG gram17英寸超轻薄本笔记本电脑2024新款英特尔酷睿Ultra7-155H高性,9693.42,北京,未知,21,LG天恩志兴专卖店
【4060独显】机械革命极光Pro/E旷世G16正品学生游戏笔记本电脑i7,3515.00,广东,深圳,6,品牌游戏本直销店
【24期免息】微软Surface Laptop Studio 2 i7 14.4英寸笔记本电脑高端商务设计师触屏电脑高性能,17269.10,上海,未知,3,微软乐映专卖店
Lenovo/联想小新Air14新款Plus2022酷睿air15轻薄锐龙笔记本电脑,2379.00,江苏,南京,74,新起点笔记本数码店
联想ThinkPad X13 X390 X280轻薄便携商务13.3寸12.5寸笔记本电脑,1388.00,安徽,合肥,100+,信达优品笔记本电脑
2024新品联想 拯救者G5000 酷睿i7 拯救者升级版15.6英寸独显电竞玩家,6488.25,江苏,南京,23,联想冉创专卖店
【全新正品】Redmi Book 15E小米笔记本电脑英特尔酷睿处理器商务办公大学生便携本15.6英寸【2063】,3149.00,北京,未知,78,苏宁易购官方旗舰店
2024新款Apple/苹果MacBook Air 13.6英寸笔记本电脑 M3芯片,9999.00,上海,未知,100+,星途优选店
Apple/苹果MacBook Air 13英寸笔记本电脑M1芯片,6999.00,上海,未知,83,极客优选正品店
IP65双屏三屏全加固工业三防笔记本电脑工业移动工作站服务器电脑,23800.00,广东,东莞,4,鑫控特种计算机
华硕14代顽石 英特尔四核N6000办公学生办公轻薄笔记本电脑苏宁易购官方旗舰店1634,1999.00,江苏,南京,8,苏宁易购官方旗舰店
华硕笔记本电脑独显满血游戏本LOL英雄联盟专用笔记本华硕天选4/5,5499.00,广东,广州,7,华硕笔记本自营店
Huawei/华为 MateBook X Pro【新品】2024款酷睿 Ultra笔记本电脑,10468.00,北京,未知,2,鼎立数码电商
高性能AI超轻薄本笔记本电脑 AMD锐龙7 14英寸学生商务官方旗舰店,5299.00,上海,未知,1000+,adol官方旗舰店
Hasee/神舟 战神系列 游戏本TX8/Z8/13代酷睿/RTX4060独显游戏电,4499.00,河南,郑州,100+,百补笔记本旗官店
Hasee神舟战神S8D6/Z8D6/Z7 D6/G9R9 RTX4060/RTX4070 独显笔记本,3988.00,北京,未知,15,神舟静鑫恒晟专卖店
Lenovo/联想 小新 小新air酷睿13代i5学生游戏办公轻薄笔记本电脑,1838.87,广东,广州,21,联正官数码科技
LGgram Ultra 2.5K LG原厂防眩光笔记本电脑商务办公轻薄本32G,10093.37,上海,未知,18,LG笔记本旗舰店
Lenovo/联想小新Pro16 Pro14轻薄学生商务办公笔记本游戏设计电脑,2888.00,江西,南昌,75,品牌笔记本电脑特价店
ROG玩家国度冰刃7双屏2024款华硕RTX4090国行正品游戏笔记本电脑,20799.00,上海,未知,15,上海电竞自营店
联想笔记本电脑 2023小新品旗舰八核锐龙R7超轻薄本V14/V15 15.6英寸学生游戏办公设计本官方旗舰店正品官网,2599.00,福建,厦门,85,thinkpad新启联专卖店
2024旗舰新品HP/惠普 spectre X360 可选英特尔Evo酷睿Ultra7 Arc,10399.00,广东,广州,68,惠普中国官方旗舰店
3060华硕游戏笔记本大学生电脑i7飞行堡垒吃鸡4060天选4060联想i5,2276.00,广东,深圳,0,品牌游戏本直销店
Acer/宏碁i7笔记本电脑游戏本暗影骑士擎龙4060独显3060学生联想,2687.00,广东,深圳,0,品牌游戏本直销店
Acer/宏碁 笔记本电脑游戏本 暗影骑士龙学生3060独显4060联想i7,2687.00,广东,深圳,0,品牌游戏本直销店
2023Apple/苹果 MacBook Pro MPXQ2CH/A笔记本电脑M2新14寸M1Pro,7558.00,广东,深圳,10,超盈数码
2024新品上市LG gram17AI酷睿Ultra7学习商务办公轻薄本2.5K LG原厂防,9193.72,上海,未知,33,LG笔记本旗舰店
【618狂欢】华为MateBook D16 / D14 2024款新品上市 笔记本电脑办公轻薄本学生官方旗舰店官网2023款,3499.00,浙江,杭州,200+,华为衡跃专卖店
2023新款Apple/苹果MacBook Pro 14 16英寸M3笔记本电脑定制,11060.00,浙江,杭州,6,杭州百脑汇宏泰数码实体店
联想Thinkbook14/15/16 轻薄办公学习设计画图编程游戏笔记本电脑,3299.00,浙江,杭州,75,优惠数码商城
官方店联想拯救者 Y7000P/R9000P/Y9000P可选 游戏笔记本电脑,8699.00,北京,未知,400+,联想直营官方店
Hasee/神舟 战神 TX9游戏本Z7/Z8电竞独显RTX4060笔记本电脑3060,1258.15,广东,广州,98,臻选数码优品
联想小新air14学生轻薄笔记本电脑2024年新款商务办公专用酷睿i57,2492.87,上海,未知,74,联想笔记本电脑科技
【24期分期免息】联想拯救者R7000/R9000P/Y7000P 锐龙/酷睿处理器 RTX4060显卡 游戏电竞设计笔记本电脑,8286.00,北京,未知,50,来酷智生活旗舰店
【新店钜惠】ROG/玩家国度枪神8 Plus 14代酷睿i9-14900HX 4070独显18英寸星云屏学生电竞吃鸡游戏笔记本电脑,14469.00,江苏,南京,2,ROG玩家国度爱速斯专卖店
外星人ALIENWARE x14 R2 14英寸高性能轻薄本 游戏电竞笔记本电脑,14999.00,北京,未知,2,外星人长虹佳华专卖店
华为笔记本电脑Matebook14 D16SE轻薄本学习办公电竞i7独显超极本,1139.00,广东,深圳,17,捷达数码科技
Apple苹果笔记本电脑MacBookPro13寸15i7办公设计Air超薄学生游戏,1280.87,北京,未知,8,信诚数码苹果电脑老店
【英特尔N95│移动旅行商务办公】Jumper/中柏EZbook S5 /S7 笔记本电脑轻薄本便携手提学生网课商务办公490,1263.87,广东,深圳,300+,苏宁易购官方旗舰店
2024新品HP/惠普战66六代七代笔记本酷睿Ultra处理器2050独显2.5K高性,3849.00,江苏,南京,41,惠普推星专卖店
Apple苹果MacBook Pro21款M1设计剪辑14寸商务官翻全新笔记本电脑,2701.32,广东,广州,100+,苹果Mac store官翻企业店
Apple/苹果笔记本电脑MacBookProAir超薄轻便携办公设计游戏剪辑,1774.87,广东,佛山,22,潮小熊数码企业店
华为MateBook 14s 笔记本电脑 13代酷睿标压处理器轻薄办公本,5999.00,江苏,苏州,47,机革游戏本店
机械革命无界14Pro无界14+16Code01学生轻薄本办公笔记本电脑2024,2339.00,上海,未知,60,若万数码科技品牌店
LG gram17英寸超轻薄本笔记本电脑2024新款英特尔酷睿Ultra7-155H高性,9693.42,北京,未知,21,LG天恩志兴专卖店
联想ThinkPad thinkbook14+ 16+ 2024款AIPC电脑Ultra7锐龙笔记本,3729.00,上海,未知,54,ThinkPad国行平价店
联想小新Pro14/小新Pro16 2023款学生设计办公轻薄便携笔记本电脑,2393.87,上海,未知,87,联想笔记本电脑科技
【英特尔酷睿新款超薄笔记本电脑】15.6英寸高清大屏幕笔记本电脑多功能商务娱乐游戏工作电脑学生学习笔记本,1442.00,浙江,杭州,0,天天特卖工厂店
2024新品联想 拯救者G5000 酷睿i7 拯救者升级版15.6英寸独显电竞玩家,6488.25,江苏,南京,23,联想冉创专卖店
HP/惠普i7轻薄便携学生上网课女生办公商务本游戏独显笔记本电脑,628.00,广东,佛山,26,戴尔电脑直销店
荣耀MagicBooK14/15/X16Pro商务办公学生触控屏2024款笔记本电脑,1889.00,北京,未知,100+,阳光数码科技品牌店
荣耀笔记本MagicBookX14/15/16学生轻薄2022新款i5/R5/R7办公电脑,1888.00,湖北,武汉,27,翔宇数码商行
《2024新品酷睿i9笔记本电脑》高配置轻薄本商务办公英特尔便携大学生14/16英寸旗舰店官方正品独显手提设计,938.00,广东,深圳,1000+,钜导旗舰店
IP65双屏三屏全加固工业三防笔记本电脑工业移动工作站服务器电脑,23800.00,广东,东莞,4,鑫控特种计算机
Hasee/神舟 战神 Z7/Z8D6/S8/T8 PRO RTX4060神舟游戏笔记本电脑,3986.00,北京,未知,2,神舟北京号
【官方正品】2024新款笔记本电脑4K全面屏16英寸轻薄本便携大学生网课商务办公设计电竞游戏金属手提电脑旗舰,1368.00,广东,深圳,6,腾森天汇数码专营店
Huawei/华为 笔记本电脑 Matebook,9999.00,山东,菏泽,3,鼎颂豪创数码
ROG幻16 Air 2024款星空版翻转版办公轻薄高性能设计游戏笔记本,9850.00,湖北,武汉,100+,武汉电竞自营店
【新品】华为MateBook X Pro酷睿Ultra 微绒典藏版笔记本电脑980克超轻薄 柔性OLED原色屏商务轻薄办公本1943,11599.00,北京,未知,14,苏宁易购官方旗舰店
Apple/苹果2023新款14英寸MacBookPro 笔记本电脑M3/M3 Pro/Max,13999.00,广东,深圳,25,极客优选正品店
华为笔记本电脑Matebook14 D16SE轻薄本办公学习电竞独显i7超极本,1139.00,广东,深圳,8,鑫鑫数码电脑城
高性能AI超轻薄本笔记本电脑 AMD锐龙7 14英寸学生商务官方旗舰店,5299.00,上海,未知,1000+,adol官方旗舰店
(2024新品）Dell/戴尔 xps16 9640-R2968TS触屏Ultra9笔记本电脑,28500.00,上海,未知,2,戴尔上海批发商
价保618Lenovo/联想 拯救者 Y7000P 游戏显卡RTX4070 24款Y9000P,7099.00,浙江,杭州,100+,珊姐评测
A3 A3 A3 A3外贸新品14寸玫瑰金笔记本电脑J4105轻薄便携式,18314.87,广东,广州,0,微笑数码配件店78
LGgram Ultra 2.5K LG原厂防眩光笔记本电脑商务办公轻薄本32G,10093.37,上海,未知,18,LG笔记本旗舰店
苹果笔记本电脑女生轻薄款MacBookAir办公商务设计学生游戏本Pro,1293.87,广东,深圳,52,闪电本本
Asus/华硕无畏14 2024 无畏Pro14高性能14英寸轻薄便携笔记本电脑,3588.00,北京,未知,6,校园电竞商城
Alienware/外星人M16 M18 【24年新款】电竞游戏笔记本电脑官翻,12799.00,江苏,南京,32,戴尔官翻瑞铭扬折扣店
2024旗舰新品HP/惠普 spectre X360 可选英特尔Evo酷睿Ultra7 Arc,10399.00,广东,广州,68,惠普中国官方旗舰店
【百亿补贴】机械革命旷世16 RTX4060电竞商务大屏游戏笔记本电脑,6399.00,上海,未知,42,机械革命笔记本数码店
ROG/玩家国度魔霸枪神78Plus超竞版幻X16冰刃7双屏游戏笔记本电脑,20000.00,福建,厦门,13,极物圈
ThinkPad T480 T480联想T480S T14 T490 i7 游戏笔记本电脑轻薄款,1250.00,广东,广州,25,原装高端笔记本电脑批发分销中心
联想ThinkPad X220 X230 X240 X250 X260 X270便携办公笔记本电脑,449.00,北京,未知,100+,本之星数码二手笔记本电脑
官方店联想拯救者 Y7000P/R9000P/Y9000P可选 游戏笔记本电脑,8699.00,北京,未知,400+,联想直营官方店
机械革命3060蛟龙游戏笔记本电脑4060极光Pro电竞4050大学生联想,3598.00,广东,深圳,1,品牌游戏本直销店
Apple/苹果MacBook Air 13.6英寸2024款 M3芯片笔记本电脑,8999.00,浙江,杭州,13,爱上数码
Acer/宏碁笔记本电脑游戏本i7暗影骑士擎龙4060独显3060学生联想,2687.00,广东,深圳,0,品牌游戏本直销店
2024新品上市LG gram17AI酷睿Ultra7学习商务办公轻薄本2.5K LG原厂防,9193.72,上海,未知,33,LG笔记本旗舰店
【12期免息】联想ThinkPad T16 2023新款酷睿i7 16英寸MX550独显商务办公轻薄便携工程编程设计ibm笔记本电脑,7899.00,福建,厦门,24,thinkpad恒瀚专卖店
HP/惠普 EliteBook 840 G4/850G5/830/X360 1040G6笔记本电脑二手,1700.00,广东,广州,300+,乐心企业 二手笔记本
Dell/戴尔G15 5530酷睿i5独显3050游戏本CAD制图剪辑游戏电竞学生设计ug编程15.6英寸大屏官方正品笔记本电脑,6199.00,江苏,南京,12,戴尔新圆梦专卖店
荣耀笔记本MagicBookX14/15/16多屏协同全面屏学生轻薄i5新款电脑,2211.87,湖北,武汉,100+,鑫宇科技数码品牌店
外星人ALIENWARE x14 R2 14英寸高性能轻薄本 游戏电竞笔记本电脑,14999.00,北京,未知,2,外星人长虹佳华专卖店
Lenovo/联想小新Pro14/pro16轻薄便携学生办公游戏设计笔记本电脑,3048.00,上海,未知,300+,鑫鑫正品数码商行
MECHREVO/机械革命 S3 S3 无界14X 14 Pro轻薄办公商务笔记本电脑,3699.00,湖北,武汉,200+,机革电竞游戏本之家
Lenovo/联想 小新 AIR14/Pro14/Pro16轻薄学生商务办公笔记本电脑,2581.87,湖北,武汉,2,鑫宇科技数码品牌店
2024新品HP/惠普战66六代七代笔记本酷睿Ultra处理器2050独显2.5K高性,3849.00,江苏,南京,41,惠普推星专卖店
联想Thinkbook14 16 13代i5/i7 锐龙办公设计游戏轻薄笔记本电脑,3349.00,四川,成都,10,正品电脑商城
14寸 13代酷睿i5-13500H学生商务办公2.5K轻薄家用12核笔记本电脑,2999.00,广东,佛山,12,Saim思门科技企业店
苹果笔记本电脑i9超薄手提电脑正品MacbookPro剪辑m2办公设计本16,2490.00,浙江,杭州,31,杭州瞰瞰数码macbook实体店
联想小新air14/15酷睿版小新16锐龙版学生办公轻薄2024笔记本电脑,2292.87,上海,未知,48,联想笔记本电脑科技
IP65双屏三屏全加固工业三防笔记本电脑工业移动工作站服务器电脑,23800.00,广东,东莞,4,鑫控特种计算机
联想小新air14 air15学生笔记本电脑轻薄本商务办公用酷睿i7独显6,1792.87,上海,未知,80,联想笔记本电脑科技
Xiaomi/小米游戏笔记本电脑3060红米Redmi G学生电脑吃鸡4060联想,2677.00,广东,深圳,0,品牌游戏本直销店
机械革命翼龙15Pro 蛟龙15K 17K 4060正品学生游戏办公笔记本电脑,4199.00,浙江,杭州,400+,机械革命电脑商城
2024新品联想 拯救者G5000 酷睿i7 拯救者升级版15.6英寸独显电竞玩家,6488.25,江苏,南京,23,联想冉创专卖店
【2023新品首发】联想ThinkPad P1隐士 Gen6 13代酷睿i7/i9 16英寸设计移动图形工作站笔记本电脑RTX4090独显,15799.00,福建,厦门,21,thinkpad恒瀚专卖店
15.6+7寸】双屏笔记本电脑触摸屏二合一游戏本大学生学习商务办公,1199.00,广东,深圳,26,吉开鑫电脑企业店
17寸笔记本电脑Dell/戴尔Precision7530 图形移动工作7740独显16G,1609.96,广东,广州,7,锐澳数码
华为电脑MateBook D14 13代酷睿商务办公学习笔记本电脑2023款,4399.00,上海,未知,17,天猫超市
LG gram17英寸超轻薄本笔记本电脑2024新款英特尔酷睿Ultra7-155H高性,9693.42,北京,未知,21,LG天恩志兴专卖店
机械革命无界14+Pro锐龙R7无界16Code01指纹轻薄本办公笔记本电脑,2399.00,江苏,苏州,71,尚品科技电脑商城
MECHREVO/机械革命 极光pro i7-13650HX/4060 电竞游戏笔记本电脑,6499.00,北京,未知,91,电竞游戏本电脑店
Acer/宏碁·未来 环保版 15.6英寸酷睿13代i5 EVO认证笔记本电脑,3679.00,湖南,长沙,51,宏碁电脑商城
ROG幻16 Air 2024款星空版翻转版办公轻薄高性能设计游戏笔记本,9850.00,湖北,武汉,100+,武汉电竞自营店
MECHREVO/机械革命 蛟龙 蛟龙5 蛟龙15K 4050轻薄游戏笔记本电脑,4799.00,湖北,武汉,8,机革电竞游戏本之家
Asus/华硕笔记本电脑 办公设计编程手提电脑轻薄家用i7大型游戏本,1014.87,广东,广州,67,铠龙数码
ThinkPad thinkbook book 16+ 酷睿 23款联想笔记本电脑,4899.00,江苏,南京,100+,ThinkPad润亿景店
高性能AI超轻薄本笔记本电脑 AMD锐龙7 14英寸学生商务官方旗舰店,5299.00,上海,未知,1000+,adol官方旗舰店
【联想授权】lenovo联想小新14/16 24款 14/15/16英寸轻薄本笔记本电脑大屏学习娱乐办公大学生电脑,4699.00,北京,未知,26,联想授权专营店
【联想授权】联想小新Pro14/Pro16 AI锐龙版/R7处理器笔记本电脑商务办公学习网课轻薄本,5699.00,北京,未知,2,联想授权专营店
